nodesAttributes.Node,nodesAttributes.ZeroAct,nodesAttributes.UpAct,nodesAttributes.DownAct,nodesAttributes.AvgAct,nodesAttributes.NodeType
NCL,100,0,0,0,S
HGF,100,0,0,0,
MET,100,0,0,0,
HIST2H3A,100,0,0,0,S
HIST3H3,100,0,0,0,
CDCA3,100,0,0,0,
RAD52,100,0,0,0,
DYNLL2,100,0,0,0,S
BTG2,100,0,0,0,
TGFB1,100,0,0,0,
PSIP1,100,0,0,0,
TNF,100,0,0,0,
BMF,100,0,0,0,
RPA1,100,0,0,0,
BAG4,100,0,0,0,S
TNFRSF1B,100,0,0,0,
RNF40,100,0,0,0,
RNF20,100,0,0,0,
MARK1,100,0,0,0,
ERCC5,100,0,0,0,
INS,100,0,0,0,
TNFSF9,100,0,0,0,S
BAG1,100,0,0,0,S
DUSP5,100,0,0,0,
MEIS2,100,0,0,0,S
MAP3K4,100,0,0,0,
GADD45B,100,0,0,0,S
XRCC6,100,0,0,0,
CDC25A,100,0,0,0,
XIAP,100,0,0,0,
HUS1,100,0,0,0,S
MARK2,100,0,0,0,
SEM1,100,0,0,0,S
SIRT3,100,0,0,0,S
NAB2,100,0,0,0,S
NAB1,100,0,0,0,S
HIST1H4C,100,0,0,0,
CD70,100,0,0,0,S
FASLG,100,0,0,0,
TNFRSF1A,100,0,0,0,
BLVRA,0,0,100,-100,S
SHH,100,0,0,0,
GNL3,100,0,0,0,S
PIM1,100,0,0,0,
PTCH1,100,0,0,0,
RBBP8,100,0,0,0,
BABAM1,100,0,0,0,S
MAP2K3,100,0,0,0,
SUFU,100,0,0,0,
DUSP6,100,0,0,0,
BARD1,100,0,0,0,
UBE2D3,100,0,0,0,S
TCL1A,100,0,0,0,
ERN1,100,0,0,0,
FUS,100,0,0,0,
MAP3K1,100,0,0,0,
TRAF3,100,0,0,0,
EIF2A,100,0,0,0,
ATF4,100,0,0,0,
TYK2,100,0,0,0,
PIAS3,100,0,0,0,S
IL24,100,0,0,0,S
MAPK9,100,0,0,0,
CDKN1B,100,0,0,0,
CCND3,100,0,0,0,
RAC1,100,0,0,0,
MAP2K7,100,0,0,0,
PRKRA,100,0,0,0,S
CKS1B,100,0,0,0,
CCND2,100,0,0,0,
XAF1,100,0,0,0,S
RCHY1,100,0,0,0,
CCND1,100,0,0,0,
TP53BP2,100,0,0,0,S
PPP1R13L,100,0,0,0,S
PPP1R13B,100,0,0,0,S
WRAP53,100,0,0,0,S
PDK2,100,0,0,0,S
CASP12,100,0,0,0,S
FANCD2,100,0,0,0,
HTATIP2,100,0,0,0,S
APAF1,100,0,0,0,
FMR1,100,0,0,0,S
CIB1,100,0,0,0,S
RILPL2,100,0,0,0,S
PAK1IP1,100,0,0,0,S
RAC3,100,0,0,0,S
RHOQ,100,0,0,0,S
CHP1,100,0,0,0,S
RAC2,100,0,0,0,
RHOU,100,0,0,0,
NCK1,100,0,0,0,
PPM1E,100,0,0,0,S
PPM1F,100,0,0,0,S
F2R,100,0,0,0,
ABRAXAS1,100,0,0,0,
RET,100,0,0,0,
UBR2,100,0,0,0,S
GABARAPL1,100,0,0,0,
OTUD5,100,0,0,0,S
CARD11,100,0,0,0,
RRM2B,100,0,0,0,
CBLC,100,0,0,0,
MAPK13,100,0,0,0,
GCKR,100,0,0,0,S
CXCL11,100,0,0,0,
RSF1,100,0,0,0,S
CD28,100,0,0,0,
CD80,100,0,0,0,
CD86,100,0,0,0,S
FEN1,100,0,0,0,
SH2B2,100,0,0,0,
UBR1,100,0,0,0,S
MAML1,100,0,0,0,
BRIP1,100,0,0,0,
GABARAPL2,100,0,0,0,
DVL1,100,0,0,0,
FKBP1A,100,0,0,0,S
SMARCAD1,0,0,100,-100,S
CCNA1,100,0,0,0,
BRCA2,100,0,0,0,
SH3BP5,100,0,0,0,
ROR2,100,0,0,0,
MAP1LC3A,100,0,0,0,
IL1B,100,0,0,0,
RBPJ,100,0,0,0,
NBR1,100,0,0,0,
PSEN1,100,0,0,0,
RASSF5,100,0,0,0,
IL15RA,100,0,0,0,
RIPK1,100,0,0,0,
TNFRSF13C,100,0,0,0,
IL21R,100,0,0,0,
IFNGR1,100,0,0,0,
RARB,100,0,0,0,
TNFRSF11A,100,0,0,0,
IFNA13,100,0,0,0,S
NDP,100,0,0,0,
CRLF2,100,0,0,0,
SMAD7,100,0,0,0,
DUSP10,100,0,0,0,S
VAV1,100,0,0,0,
ARRB1,100,0,0,0,
PDGFRB,100,0,0,0,
GNAI2,100,0,0,0,
PF4,100,0,0,0,S
POPDC3,100,0,0,0,S
MAPKAP1,100,0,0,0,
SHC1,100,0,0,0,
CSF2RA,100,0,0,0,
IL9R,100,0,0,0,
CCL19,100,0,0,0,S
YWHAZ,100,0,0,0,
IL12RB2,100,0,0,0,
IGF1R,100,0,0,0,
SUGT1,100,0,0,0,S
MAP3K20,100,0,0,0,
PTPN6,100,0,0,0,
FGF2,100,0,0,0,
BMPR1B,100,0,0,0,
NLRC4,100,0,0,0,
TRIM33,100,0,0,0,S
GLI3,100,0,0,0,
DISP2,100,0,0,0,S
TRAF1,100,0,0,0,
SMAD1,100,0,0,0,
DAB2,100,0,0,0,
SOS1,100,0,0,0,
RXRB,100,0,0,0,
IL20RA,100,0,0,0,
DHX58,100,0,0,0,S
NUMBL,100,0,0,0,S
SPRY1,100,0,0,0,
CISH,100,0,0,0,S
SMAD6,100,0,0,0,
WNT7A,100,0,0,0,
MAP4K1,100,0,0,0,
LTK,100,0,0,0,
PARD6B,100,0,0,0,S
CBL,100,0,0,0,
IL23R,100,0,0,0,
PTK2B,100,0,0,0,
WNT3A,100,0,0,0,
IL13RA1,100,0,0,0,
KRAS,100,0,0,0,
LAT,100,0,0,0,
NRAS,100,0,0,0,
PLCB2,100,0,0,0,
FZD3,100,0,0,0,
SKP1,100,0,0,0,
SYK,100,0,0,0,
THRA,100,0,0,0,
NR2F2,100,0,0,0,
CNTN1,100,0,0,0,S
SPRY2,100,0,0,0,
ARRB2,100,0,0,0,
NTRK2,100,0,0,0,
IL2RB,100,0,0,0,
GLI2,100,0,0,0,
CXCR4,100,0,0,0,
TMEM173,74,26,0,26,S
SMURF1,100,0,0,0,
CTF1,100,0,0,0,S
ESR2,100,0,0,0,
IL21,100,0,0,0,S
DLL4,100,0,0,0,
MAPK8IP2,100,0,0,0,
IFNB1,100,0,0,0,
NR0B2,100,0,0,0,
LFNG,100,0,0,0,
TGFB3,100,0,0,0,
IRS1,100,0,0,0,
SOCS1,100,0,0,0,
YWHAB,100,0,0,0,
IKBKG,100,0,0,0,
ARHGAP32,100,0,0,0,
PTN,100,0,0,0,S
RASA1,100,0,0,0,
LCP2,100,0,0,0,
TGFB1I1,100,0,0,0,
NR1H2,100,0,0,0,
RRAGC,100,0,0,0,
BCL9,100,0,0,0,S
RLIM,100,0,0,0,
IL3,100,0,0,0,
MAPK10,100,0,0,0,
FRZB,100,0,0,0,
PIK3CB,100,0,0,0,
EIF4E,100,0,0,0,
TJP2,100,0,0,0,S
PTPA,100,0,0,0,S
FGF8,100,0,0,0,
USP4,100,0,0,0,
SMAD9,100,0,0,0,
XCL1,100,0,0,0,S
IL22RA1,100,0,0,0,
IL5,100,0,0,0,
PELI2,100,0,0,0,
MAP3K11,100,0,0,0,
PYCARD,100,0,0,0,
PARD6A,100,0,0,0,
TNIP2,100,0,0,0,
GNG4,100,0,0,0,S
RRAGB,100,0,0,0,S
PRKAA1,100,0,0,0,
CD14,100,0,0,0,
LEP,100,0,0,0,S
TGFB2,100,0,0,0,
LRIG1,100,0,0,0,
IL6ST,100,0,0,0,
DHH,100,0,0,0,S
NUP153,100,0,0,0,S
IL19,100,0,0,0,S
TAOK2,100,0,0,0,S
BMPR2,100,0,0,0,
IL1RN,100,0,0,0,S
MPL,100,0,0,0,
IL20,100,0,0,0,S
SQSTM1,100,0,0,0,
WNT8A,100,0,0,0,
PPP4C,100,0,0,0,
AXL,100,0,0,0,
CCL13,100,0,0,0,S
FZD7,100,0,0,0,
SAV1,100,0,0,0,
PARD3,100,0,0,0,
IFNAR2,100,0,0,0,
TANK,100,0,0,0,S
CSF3R,100,0,0,0,
EPHB1,100,0,0,0,
RAP1A,100,0,0,0,
FGF6,100,0,0,0,S
RUNX2,100,0,0,0,
YWHAG,100,0,0,0,
NOG,100,0,0,0,S
RB1CC1,100,0,0,0,
EFNA5,100,0,0,0,S
DVL3,100,0,0,0,
FBXW11,100,0,0,0,S
SKI,100,0,0,0,
PEA15,100,0,0,0,
RNF125,100,0,0,0,S
CSF2RB,100,0,0,0,
SHOC2,100,0,0,0,S
BCAR1,100,0,0,0,
IL1R1,100,0,0,0,
MAPK8IP1,100,0,0,0,
LPAR2,100,0,0,0,
STK39,100,0,0,0,
IRS2,100,0,0,0,
ZFYVE9,100,0,0,0,
MKNK1,100,0,0,0,
ALK,100,0,0,0,
GRAP,100,0,0,0,
GLI1,100,0,0,0,
CDK8,100,0,0,0,
LAMTOR3,100,0,0,0,S
KSR1,100,0,0,0,
MAML2,100,0,0,0,
NOTCH3,100,0,0,0,
JDP2,100,0,0,0,
NOTCH2,100,0,0,0,
PHLPP2,0,0,100,-100,S
GRB10,100,0,0,0,
RARG,100,0,0,0,
CCL26,100,0,0,0,S
NAA10,100,0,0,0,S
LRP6,100,0,0,0,
PTPRC,100,0,0,0,
GAB1,100,0,0,0,
ITK,100,0,0,0,
EPHA4,100,0,0,0,
GNB5,100,0,0,0,S
IFNAR1,100,0,0,0,
CBLB,100,0,0,0,
MAP2K5,100,0,0,0,
SNW1,100,0,0,0,
WNT10B,100,0,0,0,S
DOCK2,100,0,0,0,S
FGF9,100,0,0,0,S
MEFV,100,0,0,0,
TBC1D7,100,0,0,0,S
NFKBIB,100,0,0,0,
BMP2,100,0,0,0,
DUSP4,100,0,0,0,
PPP4R3A,100,0,0,0,S
DUSP16,100,0,0,0,
FGF7,100,0,0,0,S
MST1R,100,0,0,0,
WNT11,100,0,0,0,
ZRANB2,100,0,0,0,
FGR,100,0,0,0,
IL7R,100,0,0,0,
WWP1,100,0,0,0,
UCHL5,100,0,0,0,
IL20RB,100,0,0,0,
NRG2,100,0,0,0,S
DISP1,100,0,0,0,S
MERTK,100,0,0,0,
ACVRL1,100,0,0,0,
IL2RG,100,0,0,0,
HBEGF,100,0,0,0,
RNF11,100,0,0,0,
SMURF2,100,0,0,0,
CSK,100,0,0,0,
MDK,100,0,0,0,S
PTK6,100,0,0,0,
IL2,100,0,0,0,S
IFNGR2,100,0,0,0,
KREMEN2,100,0,0,0,
GDF6,100,0,0,0,S
PDGFA,100,0,0,0,
DIXDC1,100,0,0,0,
CCL25,100,0,0,0,S
LATS2,100,0,0,0,
NEDD4L,100,0,0,0,
ACVR1,100,0,0,0,
COPS6,100,0,0,0,
ERBIN,100,0,0,0,
CXCL6,100,0,0,0,S
IL15,100,0,0,0,S
DLK1,100,0,0,0,
PPBP,100,0,0,0,S
HGS,100,0,0,0,
IL10RA,100,0,0,0,
IL18,100,0,0,0,
FZD6,100,0,0,0,
DAAM1,100,0,0,0,
DTX1,100,0,0,0,
SPOP,100,0,0,0,S
FRS2,100,0,0,0,
PRKX,100,0,0,0,S
SOCS2,100,0,0,0,S
PKN1,100,0,0,0,
NUP214,100,0,0,0,S
SH3RF1,100,0,0,0,
PIK3CG,100,0,0,0,
SIGIRR,100,0,0,0,S
DUSP26,100,0,0,0,S
SARM1,100,0,0,0,S
SNCA,100,0,0,0,
RYBP,100,0,0,0,S
LEF1,100,0,0,0,
FGF22,100,0,0,0,S
MAPK12,100,0,0,0,
RRAGA,100,0,0,0,S
CAMP,100,0,0,0,
MAP4K4,100,0,0,0,
B4DG79,100,0,0,0,
NOD1,100,0,0,0,
GNAI3,100,0,0,0,
ACVR2B,100,0,0,0,
CTNNA1,100,0,0,0,
IL11,100,0,0,0,S
ZAP70,100,0,0,0,
FGFR2,100,0,0,0,
ANGPT2,100,0,0,0,S
IL26,100,0,0,0,
SNX9,100,0,0,0,
UBE2D2,100,0,0,0,S
IL7,100,0,0,0,S
PRKCB,100,0,0,0,
TOLLIP,100,0,0,0,
THRB,100,0,0,0,
IHH,100,0,0,0,S
PIAS2,100,0,0,0,S
DUSP3,100,0,0,0,
AREG,100,0,0,0,
IRF5,100,0,0,0,
SMAD5,100,0,0,0,
CBY1,100,0,0,0,S
NFKBIE,100,0,0,0,
CRP,100,0,0,0,
LTBP1,100,0,0,0,S
FLNA,100,0,0,0,
SH2B1,100,0,0,0,
TAB3,100,0,0,0,
STUB1,100,0,0,0,
FGF1,100,0,0,0,S
GHR,100,0,0,0,
PPARGC1A,100,0,0,0,
CCL21,100,0,0,0,S
WDR83,100,0,0,0,S
TAX1BP1,100,0,0,0,
SPAG9,0,0,100,-100,
MOB1A,100,0,0,0,
NR1H3,100,0,0,0,
SPRY4,100,0,0,0,S
MAPK8IP3,100,0,0,0,
BAMBI,100,0,0,0,
ARHGDIA,100,0,0,0,
TSC22D3,100,0,0,0,S
NTRK3,100,0,0,0,
MSX1,100,0,0,0,S
PLCG1,100,0,0,0,
TEK,100,0,0,0,
WNT4,100,0,0,0,
MAML3,100,0,0,0,
NCK2,100,0,0,0,
CCR5,100,0,0,0,
WWOX,100,0,0,0,
SMO,100,0,0,0,
PTCH2,100,0,0,0,
PDGFRA,100,0,0,0,
FLT1,100,0,0,0,
FZD1,100,0,0,0,
LRRFIP2,100,0,0,0,S
DDR1,100,0,0,0,
PPP2CA,0,0,100,-100,
MAP4K2,100,0,0,0,
EIF4A2,100,0,0,0,S
CARD6,100,0,0,0,S
IL1RAP,100,0,0,0,
FOXH1,100,0,0,0,S
BMPR1A,100,0,0,0,
MAP3K2,100,0,0,0,
PPM1B,100,0,0,0,S
ITGB1,100,0,0,0,
WIF1,100,0,0,0,S
IRF2BP1,0,100,0,100,S
ICOS,100,0,0,0,
MATK,100,0,0,0,
ICAM1,100,0,0,0,
PDGFB,100,0,0,0,
CX3CL1,100,0,0,0,
IL6R,100,0,0,0,
IL12RB1,100,0,0,0,
RYK,100,0,0,0,
FGF10,100,0,0,0,
CSF1,100,0,0,0,
EXOC2,100,0,0,0,
NCSTN,100,0,0,0,
PELI3,100,0,0,0,S
BTC,100,0,0,0,
HHAT,100,0,0,0,S
MAP3K6,100,0,0,0,S
ARHGEF7,100,0,0,0,
IL23A,100,0,0,0,S
CRK,100,0,0,0,
KIF7,100,0,0,0,
PTPN7,100,0,0,0,
ITSN1,100,0,0,0,S
NOTCH4,100,0,0,0,
LRP5,100,0,0,0,
CXCL8,100,0,0,0,
PRDX1,100,0,0,0,
IQGAP1,100,0,0,0,
CCL20,100,0,0,0,S
HYAL2,100,0,0,0,S
IFI16,100,0,0,0,
IRS4,100,0,0,0,
MOB1B,100,0,0,0,
FLT3,100,0,0,0,
CCL17,100,0,0,0,S
WAS,100,0,0,0,
DAB2IP,100,0,0,0,
MAP3K13,100,0,0,0,S
DYRK1A,100,0,0,0,
PSENEN,100,0,0,0,
RBX1,100,0,0,0,S
TGIF1,100,0,0,0,S
KIR2DL1,100,0,0,0,
UBE2V1,100,0,0,0,
CCL11,100,0,0,0,S
TLR1,100,0,0,0,
PREX1,100,0,0,0,
PDGFC,100,0,0,0,S
PDGFD,100,0,0,0,S
PSEN2,100,0,0,0,
CXCL12,100,0,0,0,
GNAS,100,0,0,0,
IL9,100,0,0,0,S
SKIL,100,0,0,0,
SOCS4,100,0,0,0,S
PPP1CC,100,0,0,0,
CCL1,100,0,0,0,S
PAG1,100,0,0,0,
DLX5,100,0,0,0,
NR3C2,100,0,0,0,
IL11RA,100,0,0,0,
PPARD,100,0,0,0,
PTCRA,100,0,0,0,S
GAB2,100,0,0,0,
DUSP9,100,0,0,0,S
FLT4,100,0,0,0,
MUC1,100,0,0,0,
FGF18,100,0,0,0,S
FGF4,100,0,0,0,S
KDR,100,0,0,0,
ILF3,100,0,0,0,
TAOK1,100,0,0,0,
ACTR2,100,0,0,0,
RAP1B,100,0,0,0,
FGFR1,100,0,0,0,
DVL2,100,0,0,0,
PBK,100,0,0,0,
GH1,100,0,0,0,S
PPP1R15A,100,0,0,0,
RAP1GAP,100,0,0,0,
TSLP,100,0,0,0,S
SCO2,100,0,0,0,
FZD4,100,0,0,0,
ADAM17,100,0,0,0,
DNER,100,0,0,0,S
POFUT1,100,0,0,0,S
CCL3,100,0,0,0,S
CCL22,100,0,0,0,S
RAB23,100,0,0,0,
DUSP2,100,0,0,0,S
PTPRB,100,0,0,0,S
CUL1,100,0,0,0,
DAXX,100,0,0,0,
FGF17,100,0,0,0,S
SYNJ2BP,100,0,0,0,
UBE2O,100,0,0,0,
NRG4,100,0,0,0,S
PTK2,100,0,0,0,
ELANE,100,0,0,0,
THEM4,100,0,0,0,S
TYRO3,100,0,0,0,
CYLD,0,100,0,100,
RASGRP1,100,0,0,0,
PRL,100,0,0,0,
CD4,100,0,0,0,
RNF111,100,0,0,0,
MAP3K10,100,0,0,0,
INPPL1,100,0,0,0,
PHLPP1,100,0,0,0,
PIK3CA,100,0,0,0,
ANGPT1,100,0,0,0,S
DLL3,100,0,0,0,
PRKACB,100,0,0,0,
IRAK3,100,0,0,0,
DUSP19,100,0,0,0,S
SOS2,100,0,0,0,
RICTOR,100,0,0,0,
SREBF1,100,0,0,0,
PIK3CD,100,0,0,0,
XPO1,100,0,0,0,S
EEF1A1,100,0,0,0,
CDC34,100,0,0,0,
ACVR1B,100,0,0,0,
WNT16,100,0,0,0,S
EIF4G1,100,0,0,0,
RRAGD,100,0,0,0,
NLRX1,100,0,0,0,S
MKNK2,100,0,0,0,
ADCY5,100,0,0,0,
CALCOCO2,100,0,0,0,S
IL12B,100,0,0,0,
HSPA14,100,0,0,0,S
HES1,100,0,0,0,
VEGFB,100,0,0,0,S
TDGF1,100,0,0,0,
NOXA1,100,0,0,0,
CARD9,100,0,0,0,
DNAJA3,100,0,0,0,S
CUL4A,100,0,0,0,
CD247,100,0,0,0,
DLX3,100,0,0,0,
ADM,100,0,0,0,S
ADM2,100,0,0,0,S
CALCA,100,0,0,0,S
CALCB,100,0,0,0,S
IAPP,100,0,0,0,S
APLN,100,0,0,0,S
AGT,100,0,0,0,
GAS6,100,0,0,0,S
PROS1,100,0,0,0,
NMB,100,0,0,0,S
GRP,100,0,0,0,S
KNG1,100,0,0,0,
C3,100,0,0,0,
C5,100,0,0,0,S
CCK,100,0,0,0,
CCL14,100,0,0,0,S
CCL15,100,0,0,0,S
CCL23,100,0,0,0,S
CCL7,100,0,0,0,S
CCL27,100,0,0,0,S
CCL24,100,0,0,0,S
RARRES2,100,0,0,0,S
CRH,100,0,0,0,S
UCN,100,0,0,0,S
UCN2,100,0,0,0,S
UCN3,100,0,0,0,S
CXCL1,100,0,0,0,
CXCL2,100,0,0,0,S
CXCL3,100,0,0,0,S
CXCL5,100,0,0,0,
CXCL13,100,0,0,0,S
PDYN,100,0,0,0,S
PENK,100,0,0,0,S
EDA,100,0,0,0,S
EDN1,100,0,0,0,
EDN2,100,0,0,0,
EDN3,100,0,0,0,
ANXA1,100,0,0,0,
SAA1,100,0,0,0,S
GAL,100,0,0,0,
GHRL,100,0,0,0,S
GIP,100,0,0,0,S
GCG,100,0,0,0,S
GNRH2,100,0,0,0,S
NPPA,100,0,0,0,S
NPPB,100,0,0,0,S
NPPC,100,0,0,0,S
RSPO2,100,0,0,0,S
RSPO3,100,0,0,0,S
POMC,100,0,0,0,S
KISS1,100,0,0,0,S
CGA,100,0,0,0,
CGB5,100,0,0,0,S
LHB,100,0,0,0,S
PMCH,100,0,0,0,S
AGRP,100,0,0,0,S
MLN,100,0,0,0,S
TAC1,100,0,0,0,S
TAC3,100,0,0,0,S
NMS,100,0,0,0,S
NMU,100,0,0,0,S
PNOC,100,0,0,0,S
NPB,100,0,0,0,S
NPW,100,0,0,0,S
NPFF,100,0,0,0,S
NPVF,100,0,0,0,S
NPS,100,0,0,0,S
NTS,100,0,0,0,S
OXT,100,0,0,0,S
HCRT,100,0,0,0,S
ADCYAP1,100,0,0,0,S
VIP,100,0,0,0,S
PROK1,100,0,0,0,S
PROK2,100,0,0,0,
PRLH,100,0,0,0,S
PTHLH,100,0,0,0,
PTH2,100,0,0,0,S
QRFP,100,0,0,0,S
RLN2,100,0,0,0,S
RLN1,100,0,0,0,S
RLN3,100,0,0,0,S
INSL3,100,0,0,0,S
INSL5,100,0,0,0,S
SCT,100,0,0,0,S
CORT,100,0,0,0,S
SST,100,0,0,0,S
UTS2,100,0,0,0,S
AVP,100,0,0,0,S
XCL2,100,0,0,0,S
NPY,100,0,0,0,S
PPY,100,0,0,0,S
PYY,100,0,0,0,S
CAMK2A,100,0,0,0,
GNB2,100,0,0,0,
VRK1,100,0,0,0,
TCF7,100,0,0,0,
YWHAH,100,0,0,0,
RIMS1,100,0,0,0,
RAPGEF4,100,0,0,0,S
HTR1A,100,0,0,0,
GNAQ,100,0,0,0,
CAMK1,100,0,0,0,
VAV2,100,0,0,0,
RASGRP3,100,0,0,0,
KCNIP3,100,0,0,0,
MINK1,100,0,0,0,
CARD14,100,0,0,0,
CAMK4,100,0,0,0,
CHRM2,100,0,0,0,
SSTR1,100,0,0,0,
SSTR2,100,0,0,0,
DRD1,100,0,0,0,
HTR2A,100,0,0,0,
PTAFR,100,0,0,0,S
GNA13,100,0,0,0,
HTR4,100,0,0,0,
SH3KBP1,100,0,0,0,
RBP1,100,0,0,0,
PPP3R1,100,0,0,0,
BCAP31,100,0,0,0,S
ANP32A,100,0,0,0,
SEC63,100,0,0,0,S
BDNF,100,0,0,0,
FER,100,0,0,0,S
ARHGAP1,100,0,0,0,
ROCK2,0,100,0,100,
MYLK,100,0,0,0,
EEF2K,100,0,0,0,
L1CAM,100,0,0,0,
RPH3A,100,0,0,0,
RAPGEF1,100,0,0,0,
ADORA1,100,0,0,0,S
ADRA1A,100,0,0,0,S
ADRA2A,100,0,0,0,S
ILK,100,0,0,0,
VDAC2,100,0,0,0,S
MAP4K3,100,0,0,0,
ARHGEF2,100,0,0,0,
TUBA1B,100,0,0,0,
CSNK1G1,100,0,0,0,
RAPGEF2,100,0,0,0,
GDI1,100,0,0,0,
ADRB2,100,0,0,0,
STX3,100,0,0,0,
SYT1,100,0,0,0,
ADORA2A,100,0,0,0,
ARHGEF1,100,0,0,0,
GNA12,100,0,0,0,
CYTH2,100,0,0,0,
PSD3,100,0,0,0,S
PRKG2,100,0,0,0,S
BDKRB1,100,0,0,0,
RASGRF1,100,0,0,0,
RASA4,100,0,0,0,S
RAPGEF3,100,0,0,0,S
RIN1,100,0,0,0,
PPP2R5C,100,0,0,0,
WASF1,100,0,0,0,
ANAPC1,100,0,0,0,
TUBA1A,100,0,0,0,
ARFGEF2,100,0,0,0,S
FN1,100,0,0,0,
SIPA1,100,0,0,0,S
ARFGAP1,100,0,0,0,
RGS4,100,0,0,0,S
RGS19,100,0,0,0,
PPP1R12B,100,0,0,0,
F2RL1,100,0,0,0,
PRSS1,100,0,0,0,S
SYN1,100,0,0,0,
GNAZ,100,0,0,0,
DOK1,100,0,0,0,
EFNB2,100,0,0,0,S
WNT6,100,0,0,0,S
CHRM4,100,0,0,0,S
SNPH,100,0,0,0,S
DLG1,100,0,0,0,
HOMER2,100,0,0,0,S
COX5B,100,0,0,0,
NAIP,100,0,0,0,
HPCA,100,0,0,0,S
CTTN,100,0,0,0,
SHANK1,100,0,0,0,S
MYRIP,100,0,0,0,S
DPYSL2,100,0,0,0,
SRP54,100,0,0,0,S
PROKR1,100,0,0,0,
EIF5,100,0,0,0,
EIF3J,100,0,0,0,
SIVA1,100,0,0,0,
AP2S1,100,0,0,0,S
GABBR1,100,0,0,0,
SYNGAP1,100,0,0,0,
UNC13B,100,0,0,0,
PKIA,100,0,0,0,
SERPINB2,100,0,0,0,
PPP1R1A,100,0,0,0,
PTPRA,100,0,0,0,
CNKSR1,100,0,0,0,S
GRK2,100,0,0,0,
KHDRBS2,100,0,0,0,
RALA,100,0,0,0,
RELN,100,0,0,0,S
PTPN5,100,0,0,0,
SV2A,100,0,0,0,S
ARHGEF12,100,0,0,0,
MACROD1,100,0,0,0,
STXBP6,100,0,0,0,S
CNR2,100,0,0,0,S
ANK1,100,0,0,0,
GRM7,100,0,0,0,
PICK1,100,0,0,0,S
SRI,100,0,0,0,S
DOC2A,100,0,0,0,S
DLG4,100,0,0,0,
DRD3,100,0,0,0,S
GDF15,100,0,0,0,
DLGAP1,100,0,0,0,S
CABIN1,100,0,0,0,
DNAJC5,100,0,0,0,S
AP1B1,100,0,0,0,S
COL1A1,100,0,0,0,
VTN,100,0,0,0,
FGA,100,0,0,0,
OPRD1,100,0,0,0,
OPRK1,100,0,0,0,
OPRL1,100,0,0,0,
GRIN2A,100,0,0,0,
RAP2A,100,0,0,0,
CERK,100,0,0,0,S
ENC1,100,0,0,0,S
MAFG,100,0,0,0,S
PTMA,0,0,100,-100,S
HSP90AB1,100,0,0,0,
MT3,100,0,0,0,S
PTGS2,100,0,0,0,
MAP1LC3B,100,0,0,0,
GADD45GIP1,100,0,0,0,S
PGAM5,100,0,0,0,S
ERC1,100,0,0,0,S
CSNK2A2,0,100,0,100,S
ECSIT,100,0,0,0,
COP1,100,0,0,0,
ZBP1,100,0,0,0,S
CARD17,100,0,0,0,S
PYDC1,100,0,0,0,S
HLA_DMA,100,0,0,0,S
HLA_DMB,100,0,0,0,S
CASP4,100,0,0,0,S
TLR6,100,0,0,0,
POP1,100,0,0,0,S
POPDC2,100,0,0,0,S
PYDC2,100,0,0,0,S
CNOT8,100,0,0,0,S
GRK6,100,0,0,0,S
MAGI2,100,0,0,0,S
SLC9A3R2,100,0,0,0,S
MAGI3,100,0,0,0,S
GOPC,100,0,0,0,S
CTNND2,100,0,0,0,S
RLF,100,0,0,0,S
WNT9A,100,0,0,0,
CDK7,100,0,0,0,
CDK9,100,0,0,0,
PPP2R5A,100,0,0,0,
RANBP3,100,0,0,0,S
FZD8,100,0,0,0,
CHRM3,100,0,0,0,S
RNF4,100,0,0,0,
CDH15,0,100,0,100,S
RABEP1,100,0,0,0,S
AAK1,100,0,0,0,S
PRKAA2,100,0,0,0,
LRRK2,100,0,0,0,
F2,100,0,0,0,
WNT10A,100,0,0,0,S
DDB1,100,0,0,0,
EPGN,100,0,0,0,S
CTDSP2,100,0,0,0,S
KHSRP,100,0,0,0,
CTDSPL,100,0,0,0,S
REN,100,0,0,0,S
KAT6B,100,0,0,0,S
LMTK2,100,0,0,0,
SLIT1,100,0,0,0,S
SOX6,100,0,0,0,
CRKL,100,0,0,0,
EPHA3,100,0,0,0,
CDK4,0,0,100,-100,
CDON,0,100,0,100,
FBLN5,100,0,0,0,
LPAR1,100,0,0,0,S
LPAR3,100,0,0,0,S
SDC4,100,0,0,0,
RIT2,100,0,0,0,
ZNF76,0,0,100,-100,S
ROR1,100,0,0,0,
SP4,100,0,0,0,S
CBX4,100,0,0,0,
RASSF6,100,0,0,0,S
PDPK2P,100,0,0,0,S
PPP2CB,0,100,0,100,
TRIB3,100,0,0,0,
IL12A,100,0,0,0,
SMARCA2,100,0,0,0,
WT1,100,0,0,0,
TET2,100,0,0,0,
MC1R,100,0,0,0,
MC5R,100,0,0,0,
MCHR1,100,0,0,0,
MCHR2,100,0,0,0,
NTN1,100,0,0,0,S
PAWR,100,0,0,0,S
RPS6KA2,100,0,0,0,
ASXL1,100,0,0,0,
EID2,100,0,0,0,S
MSC,100,0,0,0,S
MTCP1,100,0,0,0,S
GRK5,100,0,0,0,S
CCR3,100,0,0,0,
MAGEL2,100,0,0,0,
TPR,100,0,0,0,
GALP,100,0,0,0,S
RPGRIP1,100,0,0,0,S
RPGR,100,0,0,0,
MYOD1,100,0,0,0,
TNFSF11,100,0,0,0,S
DIAPH1,100,0,0,0,
